,0
0,images/5.0_5_dig6_20220522-220440.jpg
1,images/7.8_8_dig8_20220525-053821.jpg
2,images/2.8_dig5_20220517-050844.jpg
3,images/5.3_10_dig8_20220519-154941.jpg
4,images/5.0_5_dig6_20220522-085859.jpg
5,images/3.1_3_dig7_20220522-041742.jpg
6,images/6.4_10_dig7_20220522-143338.jpg
7,images/2.1_2_dig6_20220526-194236.jpg
8,images/2.5_10_dig7_20220525-034009.jpg
9,images/8.8_dig4_20220516-054420.jpg
10,images/2.1_2_dig7_20220523-042258.jpg
11,images/2.7_10_dig8_20220530-190319.jpg
12,images/6.5_Ziffer_NaN_0834.jpg
13,images/6.0_6_dig7_20220527-021833.jpg
14,images/9.0_9_dig6_20220527-082650.jpg
15,images/0.1_0_dig7_20220525-081636.jpg
16,images/8.0_8_dig6_20220521-072059.jpg
17,images/4.8_10_dig8_20220530-160843.jpg
18,images/4.8_dig7_20220516-170145.jpg
19,images/4.8_10_dig8_20220521-090741.jpg
20,images/0.1_0_dig7_20220519-000123.jpg
21,images/9.0_9_dig7_20220522-051747.jpg
22,images/9.4_10_dig7_20220521-074607.jpg
23,images/9.0_9_dig8_20220529-051539.jpg
24,images/1.8_2_dig6_20220527-090556.jpg
25,images/9.9_0_dig6_20220522-172245.jpg
26,images/7.1_7_dig6_20220523-211335.jpg
27,images/4.7_10_dig6_20220524-165958.jpg
28,images/9.0_9_dig6_20220522-113411.jpg
29,images/6.7_10_dig7_20220521-203206.jpg
30,images/8.0_8_dig4_20220521-112422.jpg
31,images/6.6_0_ht6_20210629-071741.jpg
32,images/2.9_3_dig7_20220521-090834.jpg
33,images/4.8_10_dig7_20220529-034641.jpg
34,images/8.7_10_dig7_20220521-212036.jpg
35,images/7.1_7_dig6_20220523-061131.jpg
36,images/2.1_2_dig6_20220527-050020.jpg
37,images/2.9_3_dig6_20220522-051256.jpg
38,images/0.1_0_dig6_20220525-051406.jpg
39,images/6.9_7_dig6_20220523-032446.jpg
40,images/6.7_10_dig6_20220524-072250.jpg
41,images/4.8_5_dig8_20220529-034331.jpg
42,images/9.1_9_dig7_20220529-051539.jpg
43,images/2.9_3_dig6_20220525-150850.jpg
44,images/8.0_8_dig6_20220521-112422.jpg
45,images/3.4_10_dig7_20220521-125140.jpg
46,images/5.1_5_dig7_20220519-021529.jpg
47,images/1.9_2_dig7_20220528-213805.jpg
48,images/6.5_10_dig7_20220522-055933.jpg
49,images/1.1_1_dig7_20220522-030948.jpg
50,images/1.5_10_dig7_20220524-173053.jpg
51,images/4.0_4_dig7_20220526-063510.jpg
52,images/2.1_2_dig6_20220526-234015.jpg
53,images/3.2_3_dig8_20220525-052608.jpg
54,images/8.0_8_dig6_20220526-162606.jpg
55,images/2.1_2_dig4_20220524-203009.jpg
56,images/7.2_10_dig8_20220524-095008.jpg
57,images/2.9_3_dig7_20220522-011738.jpg
58,images/4.8_10_dig5_20220523-052601.jpg
