,0
0,images/6.1_6_dig7_20220526-121440.jpg
1,images/8.4_dig4_20220516-053929.jpg
2,images/jomjol_update_20220608/labeled_20220607_51/7.1_9b80839fa15ed08ade949724c5ca96e9.jpg
3,images/jomjol_update_20220608/labeled_20220606/0.2_main_dig7_20220522-154635.jpg
4,images/jomjol_update_20220608/labeled_20220606/1.1_dig6_20220426-075621.jpg
5,images/jomjol_update_20220608/labeled_20220606/1.0_dig6_20220427-065450.jpg
6,images/jomjol_update_20220608/labeled_20220606/7.9_dig6_20220426-181916.jpg
7,images/jomjol_update_20220608/labeled_20220607_46/5.3_8f0044e0096557ff92c0128f25eb6863.jpg
8,images/jomjol_update_20220608/labeled_20220607_46/5.3_f12d32d5fad3cfe25b508617a971129e.jpg
9,images/jomjol_update_20220608/labeled_20220607_46/5.2_7fdab654247f7047cdba2c02262160fc.jpg
10,images/ziffer_raw/7.7_Ziffer_8_0001.jpg
11,images/ziffer_raw/0.9_dig5_20210926-223759.jpg
12,images/ziffer_raw/7.5_7b_red.jpg
13,images/ziffer_raw/7.0_dig1_20211010-213243.jpg
14,images/ziffer_raw/8_dig5_20220222-175724.jpg
15,images/jomjol_images/9.9_0_0_a.jpg
16,images/jomjol_images/0.0_a1.jpg
17,images/jomjol_images/7.7_8_Ziffer_8_0001.jpg
18,images/jomjol_images/9.3_Ziffer_9_0149.jpg
19,images/jomjol_images/3.0_digit4_2020-03-23_20-40-34.jpg
20,images/jomjol_images/0.9_dig5_20210926-223759.jpg
21,images/jomjol_images/5.9_6_digit7_20210504-192334.jpg
22,images/jomjol_images/5.2_5_5_dec_20210730-180943.jpg
23,images/jomjol_images/8.9_0_digit2_20210412-170214.jpg
24,images/jomjol_images/9.3_9_9f_7_digit8_20210406-155228.jpg
25,images/collected/watermeter/Techem/V_DR/labeled_last14days/2_3fd1bedf78e9939b527d53cc5c536d51.jpg
26,images/collected/watermeter/Techem/V_DR/labeled_untilMay/9.6_dig0001_20211122-103609.jpg
27,images/collected/gasmeter/GMT/iotson/9.8_2a007a16ca24490d402cfe703437a2b8.jpg
28,images/collected/gasmeter/GMT/iotson/6.1_3c3d13d1c819546cce3a0eb4d0dac3d6.jpg
