,0
0,images/jomjol_update_20220608/labeled_20220607_46/3.6_0b482a976c66061ec6a1128c09dbc316.jpg
1,images/ziffer_raw/8.2_3_digit7_20210629-094726.jpg
2,images/ziffer_raw/3.1_D8_2020-08-24_13-13-51.jpg
3,images/ziffer_raw/9.1_0_ht3_20210704-074629.jpg
4,images/jomjol_images/2.5_NaN_2c_red.jpg
5,images/jomjol_images/4.9_5_5_b.jpg
6,images/jomjol_images/0.7_1_10_dig6_20210701-123531.jpg
7,images/jomjol_images/6.8_7_ziffer5_2019-10-14_02-48-29.jpg
8,images/jomjol_images/9.0_digit1_2020-03-22_12-55-10.jpg
9,images/jomjol_images/5.4_NaN_5b_red.jpg
10,images/jomjol_images/5.9_6_red.jpg
11,images/jomjol_images/2.1_2_2_digit3_20210627-210946.jpg
12,images/jomjol_images/2.1_2_2_digit3_20210627-211437.jpg
13,images/collected/watermeter/Techem/V_DR/labeled_last14days/1_d9b5335ca286add03c01f55f501701db.jpg
14,images/collected/watermeter/Techem/V_DR/labeled_untilMay/5.9_4_dig01_20220410-103006.jpg
15,images/collected/watermeter/Techem/V_DR/labeled_untilMay/6.6_dig001_20211127-130623.jpg
16,images/collected/new/4.3_1_dig6_20220603-125954.jpg
17,images/collected/new/7.1_7_dig5_20220608-194654.jpg
18,images/collected/new/9.8_9.8_main_dig6_20220618-175730.jpg
