,0
0,9.5_10_dig8_20220530-193919.jpg
1,9.0_9_dig8_20220523-201744.jpg
2,8.4_dig4_20220516-053929.jpg
3,3.2_dig7_20220223-145629.jpg
4,1.9_2_dig7_20220521-122234.jpg
5,6.3_dig8_20220516-100901.jpg
6,7.1_7_dig7_20220522-121943.jpg
7,0.3_dig8_20220519-213401.jpg
8,8.5_dig5_20220428-082337.jpg
9,8.4_dig5_20220428-082137.jpg
10,0.8_dig3_20220424-192257.jpg
11,1.0_dig6_20220427-065450.jpg
12,8.9_dig6_20220428-081537.jpg
13,2.9_2b2e34b2cb053aa4b623affa676b40a5.jpg
14,5.4_5b_red.jpg
15,6_digit7_20210816-035447.jpg
16,5.1_6_digit4_20210627-210946.jpg
17,7.9_8_8f_6_digit8_20210406-130113.jpg
18,8.7_9_20200910-063558_ROI4.jpg
19,1.0_1_a.jpg
20,0.6_dig5_20220425-100023_neu.jpg
21,0.6_dig5_20220425-100023.jpg
22,5.4_NaN_5b_red.jpg
23,9.2_9_9_2-grafik.jpg
24,4.2_NaN_1_digit2_20210712-170114.jpg
25,0.2_0_20200814-015636_digit1.jpg
26,7.1_7_7_digit7_20210504-193234.jpg
27,3.3_Ziffer_3_0146.jpg
28,1_16be580aa8ee78e1baf1ad815d58805e.jpg
29,2.2_10df17ee09e63b86750d2b53dc5f8aa7.jpg
30,8.9_37e9f62b01f4b300aa0caf9a82dc0715.jpg
31,1_d9b5335ca286add03c01f55f501701db.jpg
32,5.0_427a53c39274a804ee0dfbe455c501db.jpg
33,1_5e1fc91ac4b0ab26db9034387939caad.jpg
34,1_dig100_20211122-011326.jpg
35,0.9_dig100_20211203-131442.jpg
